"TotalPopulation","ConfirmedInflectionDayNum","ConfirmedK","ConfirmedPopFactor","EstimatedSusceptiblePopulation","Loss","Province","Country","ConfirmedInflectionDate"
95540000,87.69023,8.285186,3.557669e-06,339.8997,7.814475,"","Vietnam","2020-03-27"
106404,89.1358,4.397256,0.0004589661,48.83583,2.195127,"Virgin_Islands","US","2020-03-29"
8535512,97.97534,4.747848,0.0007783622,6643.72,30.47388,"Virginia","US","2020-04-06"
7614892,93.67482,6.678191,0.001787244,13609.67,80.81364,"Washington","US","2020-04-02"
4776131,193.6477,9.873051,0.9593099,4581790,6.138619,"","West_Bank_and_Gaza","2020-07-11"
1792147,95.38356,3.996005,0.0003221355,577.3142,8.614224,"West_Virginia","US","2020-04-04"
2621680,86.9398,3.976557,0.0001883766,493.8632,5.55569,"Western_Australia","Australia","2020-03-26"
5822431,93.48294,5.006839,0.0006093507,3547.902,51.20853,"Wisconsin","US","2020-04-02"
578759,94.29274,4.900725,0.0005603137,324.2866,4.374643,"Wyoming","US","2020-04-03"
24450000,38.19642,4.395087,3.117216e-06,76.21594,1.866722,"Xinjiang","China","2020-02-07"
41075,88.0844,4.562332,0.0001789603,7.350793,0.3028406,"Yukon","Canada","2020-03-28"
48009999,33.16824,5.575962,3.747544e-06,179.9196,8.545094,"Yunnan","China","2020-02-02"
17090000,86.60392,1.936597,2.288787e-06,39.11537,0.860862,"","Zambia","2020-03-26"
56569990,33.05516,3.501829,2.167088e-05,1225.921,31.23436,"Zhejiang","China","2020-02-02"
16530000,87.11233,3.175874,6.051343e-07,10.00287,0.3980443,"","Zimbabwe","2020-03-27"
