"province","country","loss","sigmoidSpaceLag","realDaysLag","fatalityRate","key"
"","Afghanistan",0.000740479754006591,1.4421453423904,7.8827101978376,0.0723298791538083,"Afghanistan"
"Alabama","US",0.00120824124246889,1.48455395672973,6.72180794189956,0.0600866264579848,"Alabama@US"
"Alaska","US",0.00158567681650805,0.821934035719792,3.61181980155927,0.0387800237975359,"Alaska@US"
"","Albania",0.00110700394815858,0.702402312003408,4.56014893323014,0.0781756260154714,"Albania"
"Alberta","Canada",0.00073264830065439,1.34993082801049,7.93838432816691,0.039911165924709,"Alberta@Canada"
"","Algeria",0.00165275255665536,2.06931578830642,9.88278112458321,0.391191846604842,"Algeria"
"","Andorra",0.00122006904696231,1.67704116285041,6.92673678023828,0.0568861490711725,"Andorra"
"","Angola",0.00438619956561575,1.34993082801049,8.73738543644225,0.039911165924709,"Angola"
"Anhui","China",0.000554062829726488,1.14202696068764,4.3307969243736,0.00607524474294114,"Anhui@China"
"","Antigua_and_Barbuda",0.0024393881836352,1.34993082801049,8.257567372865,0.039911165924709,"Antigua_and_Barbuda"
"","Argentina",0.000399074686557012,0.615383173676034,2.96760043217471,0.0390244521739053,"Argentina"
"Arizona","US",0.000444582677298345,0.773752175527352,2.91220278687149,0.0331843699343192,"Arizona@US"
"Arkansas","US",0.000727818640867824,1.16421671013626,5.98965514500874,0.0306474879602803,"Arkansas@US"
"","Armenia",0.000421018246455448,1.52877767465169,7.95857655614179,0.0182355649763238,"Armenia"
"Aruba","Netherlands",1.52023643227067e-51,1.34993082801049,3.38859771440276,0.039911165924709,"Aruba@Netherlands"
"Australian_Capital_Territory","Australia",0.00121036904002142,3.29415893216442,7.88032982158983,0.0260916568822046,"Australian_Capital_Territory@Australia"
"","Austria",0.000223036965201555,1.65997546042235,6.78962000839129,0.0230535659239927,"Austria"
"","Azerbaijan",0.000195453940532894,1.34993082801049,7.32882306277878,0.039911165924709,"Azerbaijan"
"","Bahamas",0.00824810144981102,1.34993082801049,5.62417766074611,0.039911165924709,"Bahamas"
"","Bahrain",0.00044322895249583,0.379750963423276,3.68600639685049,0.00752454073105783,"Bahrain"
"","Bangladesh",4.66389888046868e-09,1.34993082801049,11.3426358404513,0.039911165924709,"Bangladesh"
"","Barbados",0.0032249062586671,1.34993082801049,6.42330026279595,0.039911165924709,"Barbados"
"Beijing","China",0.00134632558450712,1.01520823882268,11.0732417358049,0.0165057907187402,"Beijing@China"
"","Belarus",6.96621689510084e-08,1.34993082801049,6.36994964654213,0.039911165924709,"Belarus"
"","Belgium",0.000891753535607848,1.70058652548933,8.30072438663336,0.191284568873037,"Belgium"
"","Belize",0.00513252379675594,1.34993082801049,8.17744222856848,0.039911165924709,"Belize"
"","Benin",1.08068922693873e-08,1.34993082801049,9.30463581988806,0.039911165924709,"Benin"
"Bermuda","United_Kingdom",0.00412341922417129,1.34993082801049,3.55908992818801,0.039911165924709,"Bermuda@United_Kingdom"
