"province","country","loss","sigmoidSpaceLag","realDaysLag","fatalityRate","key"
"","Afghanistan",0.000740479754006591,1.4421453423904,7.8827101978376,0.0723298791538083,"Afghanistan"
"Alabama","US",0.00120824124246889,1.48455395672973,6.72180794189956,0.0600866264579848,"Alabama@US"
"Alaska","US",0.00158567681650805,0.821934035719792,3.61181980155927,0.0387800237975359,"Alaska@US"
"","Albania",0.00110700394815858,0.702402312003408,4.56014893323014,0.0781756260154714,"Albania"
"Alberta","Canada",0.00073264830065439,4.965285146243,29.1987863170046,0.999999413152746,"Alberta@Canada"
"","Algeria",0.00165275255665536,2.06931578830642,9.88278112458321,0.391191846604842,"Algeria"
"","Andorra",0.00122006904696231,1.67704116285041,6.92673678023828,0.0568861490711725,"Andorra"
"","Angola",0.00438619956561575,-1.11910242740944,-7.24335576923237,0.0752658964034186,"Angola"
"Anguilla","United_Kingdom",3.22189256423038e-53,58.9566293614862,91.7921703445898,2.18763051432428e-29,"Anguilla@United_Kingdom"
"Anhui","China",0.000554062830219547,1.14215601685974,4.33128633144755,0.00607531251480347,"Anhui@China"
"","Antigua_and_Barbuda",0.00243938818422282,4.84689611936532,29.6486089690413,0.999999392275449,"Antigua_and_Barbuda"
"","Argentina",0.000399074685921984,0.615370188063186,2.96753781084876,0.0390240354993111,"Argentina"
"Arizona","US",0.000444582677316008,0.773787131436312,2.91233435185924,0.0331847397839399,"Arizona@US"
"Arkansas","US",0.00072781864039613,1.16422395725204,5.98969242992656,0.0306474286326316,"Arkansas@US"
"","Armenia",0.000421018246312631,1.52881624713206,7.95877735841871,0.0182361790101607,"Armenia"
"Aruba","Netherlands",1.18540413549822e-51,55.9786270121463,140.517605504517,2.16004226195691e-28,"Aruba@Netherlands"
"Australian_Capital_Territory","Australia",0.00121036903775211,3.29412349155111,7.88024504009395,0.0260920635193177,"Australian_Capital_Territory@Australia"
"","Austria",0.000223036967748702,1.65999819884616,6.78971301293317,0.0230537186974795,"Austria"
"","Azerbaijan",0.00019545394015554,-1.44196241886202,-7.82846588264899,0.00595540803121941,"Azerbaijan"
"","Bahamas",0.00824810144585206,3.34528782864955,13.9373756671556,0.99999999505628,"Bahamas"
"","Bahrain",0.000443228952953338,0.379762165530907,3.68611512874155,0.00752464728292829,"Bahrain"
"","Bangladesh",4.66389884632641e-09,2.18365017278853,18.3478650897854,0.864362416597207,"Bangladesh"
"","Barbados",0.0032249062534946,5.25632059618502,25.0108559388738,0.999999963091103,"Barbados"
"Beijing","China",0.00134632558344739,1.01521106898345,11.0732726053873,0.0165057710308455,"Beijing@China"
"","Belarus",6.96621708887896e-08,3.97248376505837,18.7450505093075,0.75956095923672,"Belarus"
"","Belgium",0.000891753538780281,1.70056276409302,8.30060840500061,0.191280249213973,"Belgium"
"","Belize",0.00513252379700337,2.99647467738502,18.1516697413283,0.999999897485415,"Belize"
"","Benin",1.08068922986325e-08,3.58070716314595,24.6806543264441,0.568903063686502,"Benin"
"Bermuda","United_Kingdom",0.00412341922838265,6.91656327228289,18.2355052342473,0.999999922980636,"Bermuda@United_Kingdom"
"","Bhutan",5.79794997112538e-46,48.323922378418,429.310692888313,1.30960304953059e-24,"Bhutan"
"","Bolivia",0.00287152576283846,1.62326460069985,7.37275581112126,0.144481748884384,"Bolivia"
"","Bosnia_and_Herzegovina",0.000575642530201452,1.75652777029779,8.3262630757935,0.0948307770014152,"Bosnia_and_Herzegovina"
"","Botswana",0.0143464025603229,-0.302304736735597,-0.599159825982061,0.176919309950147,"Botswana"
"","Brazil",0.000294583197737997,2.842646038383,15.8988823382776,0.469914256166139,"Brazil"
"British_Columbia","Canada",0.00097054087448931,0.611145418996443,3.08813002509741,0.0328865954963332,"British_Columbia@Canada"
"British_Virgin_Islands","United_Kingdom",1.86445318567633e-67,77.7007324807851,57.4925435392334,7.25489126699706e-39,"British_Virgin_Islands@United_Kingdom"
"","Brunei",0.000945564932061784,2.73630520421821,11.3244097831578,0.00980018915124571,"Brunei"
"","Bulgaria",0.00109898034589875,2.29730433912885,12.3852271531114,0.0917855992987059,"Bulgaria"
"","Burkina_Faso",0.00137741265773655,0.214134159601093,0.891369628012522,0.0532557384123358,"Burkina_Faso"
"","Burma",0.00450759178522652,0.618824632533681,1.26378532342242,0.0552792969656657,"Burma"
"","Burundi",4.80248661572598e-49,52.9431638281503,99.4632100775056,1.55647748980751e-26,"Burundi"
"","Cabo_Verde",0.0168721199553196,-0.0274292677389103,-0.0756347246095873,0.163009425484857,"Cabo_Verde"
"California","US",0.000207908517764091,0.491767505944091,2.26965112781122,0.0288759604499586,"California@US"
"","Cambodia",2.97257967906688e-56,62.5874257341397,150.169578047188,1.88295536033923e-31,"Cambodia"
"","Cameroon",0.000391442390005847,-1.27292378367057,-4.55409868727712,0.00980496797634172,"Cameroon"
"Cayman_Islands","United_Kingdom",0.00179136943133401,-4.56639683492627,-20.950509952324,0.0136001677913667,"Cayman_Islands@United_Kingdom"
"","Central_African_Republic",6.95340437973916e-47,47.3643800084246,464.588820007376,8.33817075952334e-24,"Central_African_Republic"
"","Chad",1.05556922086023e-46,49.6451239512257,240.946006295789,5.09430188701951e-25,"Chad"
"Channel_Islands","United_Kingdom",0.000368237547760204,0.905817389243447,4.09110793380502,0.0337833479552561,"Channel_Islands@United_Kingdom"
"","Chile",8.08888059640791e-05,2.19416589191566,9.801628669085,0.0229663261918699,"Chile"
"Chongqing","China",0.00056000396802006,1.51831136780739,6.55654371765042,0.010418779743613,"Chongqing@China"
