"Province","Country","R0","Beta","Gamma","FirstDayNum","FirstDayInfectedCount","EstimatedSusceptiblePopulation","PopFactor","TotalPopulation","PeakDayNum","PeakInfectionValue","Loss"
"","Romania",7.970914,0.220615,0.02767751,71,52,19530000,1,19530000,149,11990420,9.574415
"","Russia",20.93767,0.2255587,0.01077286,36,1,144191900,0.997868,144500000,157,116357900,5.24005
"","San_Marino",9.552296,0.1508874,0.01579593,65,22,317.4119,0.009503351,33400,99,230.4242,3.05342
"","Saudi_Arabia",31.72387,0.2502647,0.007888846,68,15,3107.5,9.433819e-05,32940000,104,2685.306,6.060426
"Shaanxi","China",8.08792,0.4383876,0.05420276,27,11,253.1986,6.60231e-06,38350000,40,167.1112,23.74284
"Shandong","China",3.847323,0.2249731,0.05847524,27,54,808.4333,8.079486e-06,100059998,48,368.8097,70.09416
"Shanghai","China",1.018627,0.1196203,0.1174329,37,122,451.0002,1.865179e-05,24179991,37,121.2784,47.99457
"Shanxi","China",8.276307,0.5064697,0.06119513,29,5,137.0069,3.720991e-06,36819999,40,90.1632,10.62063
"Sichuan","China",6.541757,0.3252345,0.04971668,24,16,561.6055,6.764702e-06,83019995,43,329.843,42.77825
"","Singapore",3.014479,0.1317196,0.04369566,11,1,5610391,0.9997132,5612000,202,1695595,26.75027
"","Spain",7.519991,0.2957618,0.03933007,46,3,108663.2,0.002328829,46660000,94,65056.75,391.4743
"","Sweden",69.32786,0.2042959,0.002946808,47,4,3454.132,0.0003413174,10120000,102,3196.485,33.0379
"","Switzerland",60.15298,0.2819368,0.004686996,59,17,16947.74,0.001977566,8570000,98,15528.61,57.18203
"","Taiwan#",5.44379,0.1222947,0.02246499,15,1,23780000,0.9999999,23779999,220,12008840,9.458596
"","Thailand",11.03843,0.2210415,0.02002472,26,1,3752417,0.05435135,69039998,139,2596083,23.81111
"Tianjin","China",4.97133,0.2966784,0.05967788,26,9,151.0018,9.698256e-06,15569996,44,80.01443,13.96591
"","Turkey",35.74854,0.3835283,0.0107285,78,223,13178.85,0.0001630844,80810000,99,11708.61,28.28013
"","United_Arab_Emirates",5.093113,0.1411183,0.02770766,28,1,7123635,0.7578335,9400000,190,3447716,7.238774
"Victoria","Australia",4.858314,0.2675316,0.05506676,45,1,1680.368,0.0002548017,6594804,98,787.3385,11.39269
"","Vietnam",7.27698,0.1930133,0.02652382,31,1,356.2986,3.729314e-06,95540000,100,210.1262,7.47941
"Xinjiang","China",7.632333,0.4558878,0.05973113,32,3,82.40066,3.37017e-06,24450000,45,51.68,10.28454
"Yunnan","China",8.162681,0.4412779,0.05406042,25,6,184.8537,3.850317e-06,48009999,39,120.0691,22.98359
"Zhejiang","China",8.329511,0.4477879,0.05375921,21,6,1301.089,2.299963e-05,56569990,39,818.8496,101.1092
