"Province","Country","Deaths","Recovered","DeathToRemovedRatio"
"","Turkey",214,243,0.468271334792123
"","Ukraine",17,10,0.62962962962963
"","United_Arab_Emirates",6,61,0.0895522388059701
"","United_Kingdom",1789,135,0.92983367983368
"","Uruguay",1,41,0.0238095238095238
"","US",3873,7024,0.355418922639259
"","Uzbekistan",2,7,0.222222222222222
"","Venezuela",3,39,0.0714285714285714
"Victoria","Australia",4,291,0.0135593220338983
"","Vietnam",0,58,0
"Western_Australia","Australia",2,41,0.0465116279069767
"Xinjiang","China",3,73,0.0394736842105263
"Yunnan","China",2,172,0.0114942528735632
"Zhejiang","China",1,1226,0.000814995925020375
